Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.16,349.36598682403564
000289.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,243,49.96,309.42200446128845
4_076_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,77,13.966666666666669,98.73752474784852
000326.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,157,32.68,494.5774612426758
000313.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,206,42.44,748.7824499607086
000325.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,140,29.36,464.4996268749237
000345.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,141,29.44,489.01675844192505
3_106_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,102.91961026191711
D013_03.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,324,66.04,227.61087584495544
000296.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,185,38.24,306.6590323448181
1_067_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,53,9.976633333333334,31.9306709766388
D047_05.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,54,12.04,31.224571228027344
1_066_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,63.71295952796936
000253.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.04,487.7390396595001
D235_01.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,314,64.04,194.9219353199005
D013_02.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,494,100.04,253.7838056087494
000324.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,165,34.24,538.8986356258392
2_096_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,84,15.0,105.68028330802916
4_077_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,59,10.966666666666669,75.51545190811157
000270.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,123,25.8,534.8277187347412
D235_07.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,484,98.04,276.87827920913696
3_105_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,114,20.053366666666665,126.6304852962494
000318.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,120,25.36,966.6268763542176
2_067_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,144,25.0,294.08249831199646
4_082_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,179,30.966666666666665,355.9606852531433
000211.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,279,57.08,582.6982028484344
3_079_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,263,45.011633333333336,624.4824123382568
2_065_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,264,45.0,472.0612473487854
1_081_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,71,12.979633333333334,47.92828059196472
3_089_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,173,29.99663333333333,313.6660723686218
D076_05.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,344,70.04,794.298159122467
D043_01.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,424,86.04,560.427980184555
1_088_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,263,45.011633333333336,360.5712068080902
2_068_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,204,35.0,467.498275756836
000213.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,307,62.72,767.406581401825
000266.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,265,54.32,1130.5523982048037
1_071_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,113,19.986633333333334,160.06409978866577
000256.avi,0,0,0,0,0,a video of a group of people playing a sport together,,661,133.56,1644.033554315567
000334.avi,0,0,0,0,0,a video of a group of people playing a sport together,,103,21.96,243.82742524147037
1_094_1.mp4,0,0,0,0,0,a video of a group of people playing a sport together,,383,65.03163333333333,1111.674174785614
000346.avi,0,0,0,0,0,a video of a group of people playing a sport together,,649,131.16,1340.1037096977234
3_101_1.mp4,0,0,0,0,0,a video of a group of people playing a sport together,,863,145.07826666666668,1571.7726635932922
000310.avi,0,0,0,0,0,a video of a group of people playing a sport together,,147,30.6,377.58515787124634
000336.avi,0,0,0,0,0,a video of a group of people playing a sport together,,334,68.0,745.29758644104
000297.avi,0,0,0,0,0,a video of a person running,,65,14.28,246.0830192565918
4_110_1.mp4,0,0,0,0,0,a video of a person running,,113,19.966666666666665,174.29463052749634
3_090_1.mp4,0,0,0,0,0,a video of a person running,,113,19.986633333333334,176.76319885253906
000317.avi,0,0,0,0,0,a video of a person running,,188,38.88,344.69052028656006
3_093_1.mp4,0,0,0,0,0,a video of a person running,,203,35.00163333333333,334.93196296691895
4_092_1.mp4,0,0,0,0,0,a video of a person running,,53,9.966666666666667,90.00313305854797
2_066_1.mp4,0,0,0,0,0,a video of a person running,,114,20.0,231.53011178970337
4_089_1.mp4,0,0,0,0,0,a video of a person lying motionless on the ground,,443,74.96666666666667,697.6041252613068
2_080_1.mp4,0,0,0,0,0,a video of a person lying motionless on the ground,,354,60.0,678.347165107727
3_092_1.mp4,0,0,0,0,0,a video of a person lying motionless on the ground,,413,70.03663333333334,603.5407519340515
1_091_1.mp4,0,0,0,0,0,a video of a person lying motionless on the ground,,263,45.011633333333336,334.9893183708191
