Name,Event,Mode,TP,FP,FN,TN
000350,a video of a person riding a bicycle on the street,0,0,0,93,46
000289,a video of a person riding a bicycle on the street,0,21,0,85,135
4_076_1,a video of a person riding a bicycle on the street,0,8,0,40,29
000326,a video of a person riding a bicycle on the street,0,0,0,53,104
000313,a video of a person riding a bicycle on the street,0,0,0,101,105
000325,a video of a person riding a bicycle on the street,0,0,0,48,92
000345,a video of a person riding a bicycle on the street,0,0,0,55,86
3_106_1,a video of a person riding a bicycle on the street,0,24,0,3,3
D013_03,a video of a person riding a bicycle on the street,0,10,0,54,0
000296,a video of a person riding a bicycle on the street,0,11,0,160,0
1_067_1,a video of a person riding a bicycle on the street,0,14,0,7,0
D047_05,a video of a person riding a bicycle on the street,0,6,0,12,0
1_066_1,a video of a person riding a bicycle on the street,0,14,0,11,19
000253,a video of a person riding a bicycle on the street,0,0,0,59,80
D235_01,a video of a person riding a bicycle on the street,0,34,0,13,4
D013_02,a video of a person riding a bicycle on the street,0,16,0,54,1
000324,a video of a person riding a bicycle on the street,0,3,0,63,99
2_096_1,a video of a person riding a bicycle on the street,0,24,0,14,21
4_077_1,a video of a person riding a bicycle on the street,0,18,0,10,5
000270,a video of a person riding a bicycle on the street,0,0,0,75,48
D235_07,a video of a person riding a bicycle on the street,0,39,0,28,0
3_105_1,a video of a person riding a bicycle on the street,0,24,0,21,16
000318,a video of a person riding a bicycle on the street,0,0,0,111,9
2_067_1,a video of multiple people engaged in a physical fight,0,0,0,29,115
4_082_1,a video of multiple people engaged in a physical fight,0,2,0,150,25
000211,a video of multiple people engaged in a physical fight,0,0,0,163,115
3_079_1,a video of multiple people engaged in a physical fight,0,0,0,101,114
2_065_1,a video of multiple people engaged in a physical fight,0,0,0,131,129
1_081_1,a video of multiple people engaged in a physical fight,0,0,0,28,4
3_089_1,a video of multiple people engaged in a physical fight,0,0,0,108,9
D076_05,a video of multiple people engaged in a physical fight,0,0,0,94,187
D043_01,a video of multiple people engaged in a physical fight,0,0,0,61,292
1_088_1,a video of multiple people engaged in a physical fight,0,0,0,163,100
2_068_1,a video of multiple people engaged in a physical fight,0,0,0,101,69
000213,a video of multiple people engaged in a physical fight,0,130,0,85,92
000266,a video of multiple people engaged in a physical fight,0,108,0,83,74
1_071_1,a video of multiple people engaged in a physical fight,0,0,0,65,48
D031_01,a video of multiple people engaged in a physical fight,0,0,0,131,219
4_079_1,a video of multiple people engaged in a physical fight,0,0,0,122,80
3_076_1,a video of multiple people engaged in a physical fight,0,6,0,165,116
2_081_1,a video of multiple people engaged in a physical fight,0,0,0,85,11
000278,a video of multiple people engaged in a physical fight,0,8,0,83,25
1_072_1,a video of multiple people engaged in a physical fight,0,17,0,98,18
2_077_1,a video of multiple people engaged in a physical fight,0,0,0,28,38
4_096_1,a video of multiple people engaged in a physical fight,0,0,0,79,51
000321,a video of multiple people engaged in a physical fight,0,35,0,43,83
2_076_1,a video of multiple people engaged in a physical fight,0,0,0,59,58
4_103_1,a video of multiple people engaged in a physical fight,0,0,0,69,32
000251,a video of multiple people engaged in a physical fight,0,47,0,204,47
1_083_1,a video of multiple people engaged in a physical fight,0,0,0,42,33
4_105_1,a video of multiple people engaged in a physical fight,0,0,0,96,73
000220,a video of multiple people engaged in a physical fight,0,11,0,135,14
2_086_1,a video of multiple people engaged in a physical fight,0,11,0,169,114
3_078_1,a video of multiple people engaged in a physical fight,0,0,0,51,241
4_081_1,a video of multiple people engaged in a physical fight,0,0,0,53,60
3_095_1,a video of multiple people engaged in a physical fight,0,0,0,69,74
D077_06,a video of multiple people engaged in a physical fight,0,0,0,85,286
1_069_1,a video of multiple people engaged in a physical fight,0,0,0,173,58
2_084_1,a video of multiple people engaged in a physical fight,0,0,0,65,49
1_086_1,a video of multiple people engaged in a physical fight,0,0,0,66,77
000284,a video of multiple people engaged in a physical fight,0,161,0,71,184
2_079_1,a video of multiple people engaged in a physical fight,0,0,0,72,42
4_093_1,a video of multiple people engaged in a physical fight,0,0,0,114,29
D029_01,a video of multiple people engaged in a physical fight,0,0,0,29,344
000256,a video of a group of people playing a sport together,0,22,0,629,10
000334,a video of a group of people playing a sport together,0,0,0,103,0
1_094_1,a video of a group of people playing a sport together,0,79,16,161,127
000346,a video of a group of people playing a sport together,0,0,0,615,34
3_101_1,a video of a group of people playing a sport together,0,5,0,585,273
000310,a video of a group of people playing a sport together,0,26,0,115,6
000336,a video of a group of people playing a sport together,0,5,0,249,80
000314,a video of a group of people playing a sport together,0,0,0,117,0
000222,a video of a group of people playing a sport together,0,6,0,186,6
4_111_1,a video of a group of people playing a sport together,0,0,0,253,130
3_102_1,a video of a group of people playing a sport together,0,17,0,245,211
2_090_1,a video of a group of people playing a sport together,0,0,0,524,507
000258,a video of a group of people playing a sport together,0,0,0,442,2
000347,a video of a group of people playing a sport together,0,0,0,386,0
000342,a video of a group of people playing a sport together,0,0,0,132,62
000244,a video of a group of people playing a sport together,0,0,0,75,0
1_093_1,a video of a group of people playing a sport together,0,17,19,513,344
000327,a video of a group of people playing a sport together,0,0,0,188,4
000265,a video of a group of people playing a sport together,0,8,0,204,34
000267,a video of a group of people playing a sport together,0,0,0,136,14
2_093_1,a video of a group of people playing a sport together,0,0,0,260,124
4_109_1,a video of a group of people playing a sport together,0,0,0,449,245
000297,a video of a person running,0,0,0,53,12
4_110_1,a video of a person running,0,0,0,30,77
3_090_1,a video of a person running,0,5,39,3,22
000317,a video of a person running,0,0,0,51,137
3_093_1,a video of a person running,0,53,74,14,34
4_092_1,a video of a person running,0,2,0,32,19
2_066_1,a video of a person running,0,18,0,61,24
4_101_1,a video of a person running,0,0,6,75,55
2_094_1,a video of a person running,0,21,175,13,355
1_068_1,a video of a person running,0,0,0,31,41
000261,a video of a person running,0,0,0,33,25
000337,a video of a person running,0,0,0,23,74
3_104_1,a video of a person running,0,66,62,2,9
3_094_1,a video of a person running,0,16,29,23,68
D068_09,a video of a person running,0,0,0,8,21
000227,a video of a person running,0,0,0,54,22
1_077_1,a video of a person running,0,4,6,14,52
4_087_1,a video of a person running,0,0,0,53,36
2_075_1,a video of a person running,0,0,0,17,0
D001_03,a video of a person running,0,0,0,42,41
4_090_1,a video of a person running,0,0,0,23,29
2_085_1,a video of a person running,0,4,0,14,36
3_085_1,a video of a person running,0,7,23,18,65
4_088_1,a video of a person running,0,13,16,17,31
1_096_1,a video of a person running,0,5,5,5,8
4_080_1,a video of a person running,0,17,1,57,50
D014_02,a video of a person running,0,0,0,35,0
1_070_1,a video of a person running,0,21,0,13,21
4_078_1,a video of a person running,0,10,1,17,25
000304,a video of a person running,0,6,0,34,89
000288,a video of a person running,0,0,2,69,134
4_104_1,a video of a person running,0,0,0,16,13
000228,a video of a person running,0,0,0,30,49
D158_02,a video of a person running,0,0,0,23,61
2_073_1,a video of a person running,0,1,40,27,147
000234,a video of a person running,0,0,0,34,65
4_112_1,a video of a person running,0,0,0,27,38
2_095_1,a video of a person running,0,30,4,10,20
D001_04,a video of a person running,0,0,0,51,43
3_077_1,a video of a person running,0,53,70,17,16
D031_09,a video of a person running,0,0,0,30,40
2_064_1,a video of a person running,0,3,2,35,44
000260,a video of a person running,0,0,0,38,35
1_079_1,a video of a person running,0,0,0,27,0
4_102_1,a video of a person running,0,0,0,21,29
D014_01,a video of a person running,0,0,0,47,57
3_103_1,a video of a person running,0,21,31,3,1
000224,a video of a person running,0,11,0,11,97
3_097_1,a video of a person running,0,16,43,20,32
000282,a video of a person running,0,0,0,34,49
000259,a video of a person running,0,0,0,68,49
1_095_1,a video of a person running,0,0,0,27,13
3_087_1,a video of a person running,0,26,47,5,10
4_113_1,a video of a person running,0,0,0,55,40
000262,a video of a person running,0,0,0,40,181
000250,a video of a person running,0,0,0,21,139
3_075_1,a video of a person running,0,18,15,19,105
4_100_1,a video of a person running,0,0,0,25,21
4_089_1,a video of a person lying motionless on the ground,0,0,0,148,294
2_080_1,a video of a person lying motionless on the ground,0,0,0,202,137
3_092_1,a video of a person lying motionless on the ground,0,0,0,167,88
1_091_1,a video of a person lying motionless on the ground,0,193,0,14,42
3_099_1,a video of a person lying motionless on the ground,0,51,0,166,57
1_078_1,a video of a person lying motionless on the ground,0,121,0,9,103
4_094_1,a video of a person lying motionless on the ground,0,0,0,269,45
3_086_1,a video of a person lying motionless on the ground,0,117,0,19,376
1_084_1,a video of a person lying motionless on the ground,0,0,0,136,36
2_069_1,a video of a person aggressively chasing another person,0,0,0,78,65
000214,a video of a person aggressively chasing another person,0,0,0,50,20
1_082_1,a video of a person aggressively chasing another person,0,0,0,31,52
3_093_1,a video of a person aggressively chasing another person,0,0,0,67,108
2_071_1,a video of a person aggressively chasing another person,0,0,0,51,61
3_080_1,a video of a person aggressively chasing another person,0,0,0,48,98
4_101_1,a video of a person aggressively chasing another person,0,0,0,75,61
4_108_1,a video of a person aggressively chasing another person,0,0,0,34,31
4_107_1,a video of a person aggressively chasing another person,0,0,0,45,98
000312,a video of a person aggressively chasing another person,0,0,0,54,45
4_114_1,a video of a person aggressively chasing another person,0,0,0,55,10
000235,a video of a person aggressively chasing another person,0,0,0,34,0
3_096_1,a video of a person aggressively chasing another person,0,0,0,37,46
1_073_1,a video of a person aggressively chasing another person,0,0,0,30,21
000307,a video of a person aggressively chasing another person,0,0,0,38,75
3_091_1,a video of a person aggressively chasing another person,0,0,0,34,79
000264,a video of a person aggressively chasing another person,0,0,0,60,47
4_083_1,a video of a person aggressively chasing another person,0,0,0,76,23
2_078_1,a video of a person aggressively chasing another person,0,0,0,30,54
2_077_1,a video of a person aggressively chasing another person,0,0,0,28,38
1_087_1,a video of a person aggressively chasing another person,0,0,0,28,67
000351,a video of a person aggressively chasing another person,0,0,0,47,28
000311,a video of a person aggressively chasing another person,0,0,0,50,2
D076_03,a video of a person aggressively chasing another person,0,0,0,54,189
000305,a video of a person aggressively chasing another person,0,0,0,48,31
000316,a video of a person aggressively chasing another person,0,0,0,42,29
2_088_1,a video of a person aggressively chasing another person,0,0,0,36,37
000212,a video of a person aggressively chasing another person,0,0,0,42,42
000231,a video of a person aggressively chasing another person,0,0,0,28,74
000356,a video of a person aggressively chasing another person,0,0,0,36,88
000257,a video of a person aggressively chasing another person,0,0,0,36,139
1_085_1,a video of a person aggressively chasing another person,0,0,0,341,284
2_083_1,a video of a person aggressively chasing another person,0,0,0,232,318
000281,a video of a person aggressively chasing another person,0,0,0,43,58
D036_07,a video of a person jumping high in the air with both feet,0,0,0,37,288
21,a video of a person jumping high in the air with both feet,0,0,0,7,2
1_092_1,a video of a person jumping high in the air with both feet,0,0,0,33,36
2_089_1,a video of a person jumping high in the air with both feet,0,0,0,111,93
07,a video of a person jumping high in the air with both feet,0,0,0,25,90
3_100_1,a video of a person jumping high in the air with both feet,0,0,0,74,33
08,a video of a person jumping high in the air with both feet,0,0,0,1,0
4_089_1,a video of a person accidentally falling to the ground,0,0,0,148,294
2_080_1,a video of a person accidentally falling to the ground,0,0,0,202,137
1_090_1,a video of a person accidentally falling to the ground,0,0,0,19,35
1_078_1,a video of a person accidentally falling to the ground,0,0,0,130,103
3_086_1,a video of a person accidentally falling to the ground,0,0,0,136,376
2_074_1,a video of a person accidentally falling to the ground,0,1,0,131,72
1_084_1,a video of a person accidentally falling to the ground,0,0,0,136,36
4_106_1,a video of a person gently guiding another person by the arm,0,0,0,65,56
D158_17,a video of a person gently guiding another person by the arm,0,0,0,177,74
3_098_1,a video of a person gently guiding another person by the arm,0,0,0,86,174
4_097_1,a video of a person gently guiding another person by the arm,0,0,0,131,1
1_089_1,a video of a person gently guiding another person by the arm,0,22,0,93,7
2_087_1,a video of a person gently guiding another person by the arm,0,0,0,50,69
4_095_1,a video of a person stealing other person,0,0,0,30,47
1_082_1,a video of a person stealing other person,0,0,0,31,52
4_084_1,a video of a person stealing other person,0,0,0,26,29
2_071_1,a video of a person stealing other person,0,0,0,51,61
3_080_1,a video of a person stealing other person,0,0,0,48,98
4_108_1,a video of a person stealing other person,0,0,0,34,31
3_081_1,a video of a person stealing other person,0,0,0,39,101
D077_01,a video of a person stealing other person,0,0,0,32,129
3_091_1,a video of a person stealing other person,0,0,0,34,79
4_083_1,a video of a person stealing other person,0,0,0,76,23
2_078_1,a video of a person stealing other person,0,0,0,30,54
D068_10,a video of a person stealing other person,0,0,0,28,55
D158_01,a video of a person stealing other person,0,0,0,20,203
2_070_1,a video of a person stealing other person,0,0,0,23,85
D077_03,a video of a person stealing other person,0,0,0,67,103
3_088_1,a video of a person deliberately throwing garbage on the ground,0,3,0,12,93
20,a video of a person deliberately throwing garbage on the ground,0,18,10,13,7
13,a video of a person deliberately throwing garbage on the ground,0,4,7,12,80
1_080_1,a video of a person deliberately throwing garbage on the ground,0,0,0,10,34
1_076_1,a video of a person deliberately throwing garbage on the ground,0,0,0,25,25
2_072_1,a video of a person deliberately throwing garbage on the ground,0,10,10,20,31
3_074_1,a video of a person deliberately throwing garbage on the ground,0,0,20,8,85
4_103_1,a video of a person deliberately throwing garbage on the ground,0,0,0,69,32
3_082_1,a video of a person deliberately throwing garbage on the ground,0,3,17,22,128
14,a video of a person deliberately throwing garbage on the ground,0,4,4,12,75
D031_07,a video of a person deliberately throwing garbage on the ground,0,0,0,28,86
2_092_1,a video of a person deliberately throwing garbage on the ground,0,0,5,10,69
1_074_1,a video of a person deliberately throwing garbage on the ground,0,0,0,21,38
3_095_1,a video of a person deliberately throwing garbage on the ground,0,18,15,51,59
3_084_1,a video of a person deliberately throwing garbage on the ground,0,0,4,32,89
1_086_1,a video of a person deliberately throwing garbage on the ground,0,5,0,61,77
4_099_1,a video of a person tripping over an obstacle,0,0,0,18,125
4_087_1,a video of a person tripping over an obstacle,0,0,0,53,36
2_081_1,a video of a person tripping over an obstacle,0,0,0,85,11
2_082_1,a video of a person tripping over an obstacle,0,0,0,31,215
4_098_1,a video of a person tripping over an obstacle,0,0,0,72,41
D148_04,a video of a person pickpocketing a wallet from someone's pocket,0,0,0,45,334
4_085_1,a video of a person pickpocketing a wallet from someone's pocket,0,0,0,22,55
3_083_1,a video of a person pickpocketing a wallet from someone's pocket,0,0,0,30,72
D149_05,a video of a person pickpocketing a wallet from someone's pocket,0,0,0,30,81
1_075_1,a video of a person pickpocketing a wallet from someone's pocket,0,0,0,20,43
4_086_1,a video of a person pickpocketing a wallet from someone's pocket,0,0,0,45,44
D158_13,a video of a person pickpocketing a wallet from someone's pocket,0,0,0,20,44
D149_07,a video of a person pickpocketing a wallet from someone's pocket,0,2,0,22,123
D149_03,a video of a person pickpocketing a wallet from someone's pocket,0,0,0,78,217
000350,a video of a person riding a bicycle on the street,1,0,0,0,0
000289,a video of a person riding a bicycle on the street,1,19,0,1,5
