Name,Event,Mode,TP,FP,FN,TN
000350,a video of a person riding a bicycle,3,0,0,0,0
000289,a video of a person riding a bicycle,3,0,0,0,0
4_076_1,a video of a person riding a bicycle,3,0,0,0,0
000326,a video of a person riding a bicycle,3,0,0,0,0
000313,a video of a person riding a bicycle,3,0,0,0,0
000325,a video of a person riding a bicycle,3,0,0,0,0
000345,a video of a person riding a bicycle,3,0,0,0,0
3_106_1,a video of a person riding a bicycle,3,0,0,0,0
D013_03,a video of a person riding a bicycle,3,0,0,0,0
000296,a video of a person riding a bicycle,3,0,0,0,0
1_067_1,a video of a person riding a bicycle,3,0,0,0,0
D047_05,a video of a person riding a bicycle,3,0,0,0,0
1_066_1,a video of a person riding a bicycle,3,0,0,0,0
000253,a video of a person riding a bicycle,3,0,0,0,0
D235_01,a video of a person riding a bicycle,3,0,0,0,0
D013_02,a video of a person riding a bicycle,3,0,0,0,0
000324,a video of a person riding a bicycle,3,0,0,0,0
2_096_1,a video of a person riding a bicycle,3,0,0,0,0
4_077_1,a video of a person riding a bicycle,3,0,0,0,0
000270,a video of a person riding a bicycle,3,0,0,0,0
D235_07,a video of a person riding a bicycle,3,0,0,0,0
3_105_1,a video of a person riding a bicycle,3,0,0,0,0
000318,a video of a person riding a bicycle,3,0,0,0,0
2_067_1,a video of a certain number of persons fighting,3,0,0,0,0
4_082_1,a video of a certain number of persons fighting,3,0,0,0,0
000211,a video of a certain number of persons fighting,3,0,0,0,0
3_079_1,a video of a certain number of persons fighting,3,0,0,0,0
2_065_1,a video of a certain number of persons fighting,3,0,0,0,0
1_081_1,a video of a certain number of persons fighting,3,0,0,0,0
3_089_1,a video of a certain number of persons fighting,3,0,0,0,0
D076_05,a video of a certain number of persons fighting,3,0,0,0,0
D043_01,a video of a certain number of persons fighting,3,0,0,0,0
1_088_1,a video of a certain number of persons fighting,3,0,0,0,0
2_068_1,a video of a certain number of persons fighting,3,0,0,0,0
000213,a video of a certain number of persons fighting,3,0,0,0,0
000266,a video of a certain number of persons fighting,3,0,0,0,0
1_071_1,a video of a certain number of persons fighting,3,0,0,0,0
D031_01,a video of a certain number of persons fighting,3,0,0,0,0
4_079_1,a video of a certain number of persons fighting,3,0,0,0,0
3_076_1,a video of a certain number of persons fighting,3,0,0,0,0
2_081_1,a video of a certain number of persons fighting,3,0,0,0,0
000278,a video of a certain number of persons fighting,3,0,0,0,0
1_072_1,a video of a certain number of persons fighting,3,0,0,0,0
2_077_1,a video of a certain number of persons fighting,3,0,0,0,0
4_096_1,a video of a certain number of persons fighting,3,0,0,0,0
000321,a video of a certain number of persons fighting,3,0,0,0,0
2_076_1,a video of a certain number of persons fighting,3,0,0,0,0
4_103_1,a video of a certain number of persons fighting,3,0,0,0,0
000251,a video of a certain number of persons fighting,3,0,0,0,0
1_083_1,a video of a certain number of persons fighting,3,0,0,0,0
4_105_1,a video of a certain number of persons fighting,3,0,0,0,0
000220,a video of a certain number of persons fighting,3,0,0,0,0
2_086_1,a video of a certain number of persons fighting,3,0,0,0,0
3_078_1,a video of a certain number of persons fighting,3,0,0,0,0
4_081_1,a video of a certain number of persons fighting,3,0,0,0,0
3_095_1,a video of a certain number of persons fighting,3,0,0,0,0
D077_06,a video of a certain number of persons fighting,3,0,0,0,0
1_069_1,a video of a certain number of persons fighting,3,0,0,0,0
2_084_1,a video of a certain number of persons fighting,3,0,0,0,0
1_086_1,a video of a certain number of persons fighting,3,0,0,0,0
000284,a video of a certain number of persons fighting,3,0,0,0,0
2_079_1,a video of a certain number of persons fighting,3,0,0,0,0
4_093_1,a video of a certain number of persons fighting,3,0,0,0,0
D029_01,a video of a certain number of persons fighting,3,0,0,0,0
000256,a video of a group of persons playing,3,0,0,0,0
000334,a video of a group of persons playing,3,0,0,0,0
1_094_1,a video of a group of persons playing,3,0,0,0,0
000346,a video of a group of persons playing,3,0,0,0,0
3_101_1,a video of a group of persons playing,3,0,0,0,0
000310,a video of a group of persons playing,3,0,0,0,0
000336,a video of a group of persons playing,3,0,0,0,0
000314,a video of a group of persons playing,3,0,0,0,0
000222,a video of a group of persons playing,3,0,0,0,0
4_111_1,a video of a group of persons playing,3,0,0,0,0
3_102_1,a video of a group of persons playing,3,0,0,0,0
2_090_1,a video of a group of persons playing,3,0,0,0,0
000258,a video of a group of persons playing,3,0,0,0,0
000347,a video of a group of persons playing,3,0,0,0,0
000342,a video of a group of persons playing,3,0,0,0,0
000244,a video of a group of persons playing,3,0,0,0,0
1_093_1,a video of a group of persons playing,3,0,0,0,0
000327,a video of a group of persons playing,3,0,0,0,0
000265,a video of a group of persons playing,3,0,0,0,0
000267,a video of a group of persons playing,3,0,0,0,0
2_093_1,a video of a group of persons playing,3,0,0,0,0
4_109_1,a video of a group of persons playing,3,0,0,0,0
000297,a video of a person running,3,0,0,0,0
4_110_1,a video of a person running,3,0,0,0,0
3_090_1,a video of a person running,3,0,0,0,0
000317,a video of a person running,3,0,0,0,0
3_093_1,a video of a person running,3,0,0,0,0
4_092_1,a video of a person running,3,0,0,0,0
2_066_1,a video of a person running,3,0,0,0,0
4_101_1,a video of a person running,3,0,0,0,0
2_094_1,a video of a person running,3,0,0,0,0
1_068_1,a video of a person running,3,0,0,0,0
000261,a video of a person running,3,0,0,0,0
000337,a video of a person running,3,0,0,0,0
3_104_1,a video of a person running,3,0,0,0,0
3_094_1,a video of a person running,3,0,0,0,0
D068_09,a video of a person running,3,0,0,0,0
000227,a video of a person running,3,0,0,0,0
1_077_1,a video of a person running,3,0,0,0,0
4_087_1,a video of a person running,3,0,0,0,0
2_075_1,a video of a person running,3,0,0,0,0
D001_03,a video of a person running,3,0,0,0,0
4_090_1,a video of a person running,3,0,0,0,0
2_085_1,a video of a person running,3,0,0,0,0
3_085_1,a video of a person running,3,0,0,0,0
4_088_1,a video of a person running,3,0,0,0,0
